Season,Round,Date,TeamHome,Result,TeamAway,Stadium,Referee,PlayersHome,RatingHome,PotentialHome,PlayersAway,RatingAway,PotentialAway
2019,1,16/08/2019,Athletic Club,1-0,Barcelona,San Mamés,Del Cerro Grande,"['Unai Simón', 'Capa', 'De Marcos', 'Yeray', 'Núñez', 'Yuri', 'Raúl García', 'Dani García', 'Unai López', 'Muniain', 'Williams', 'Ter Stegen', 'Semedo', 'Lenglet', 'Piqué', 'Jordi Alba', 'De Jong', 'Sergi Roberto']",73,84,"['Aleñá', 'Griezmann', 'Dembélé', 'Luis Suárez', 'Beñat', 'Aduriz', 'Sancet', 'Herrerín', 'Larrazabal', 'Balenziaga', 'Vivian', 'Rafinha', 'Rakitić', 'Carles Pérez', 'Busquets', 'Umtiti', 'Junior Firpo', 'Peña']",0,0
2019,1,17/08/2019,Celta de Vigo,1-3,Real Madrid,Balaidos,Estrada Fernández,"['Rubén Blanco', 'Kevin Vázquez', 'Araujo', 'David Costas', 'Olaza', 'Brais Méndez', 'Lobotka', 'Fran Beltrán', 'Denis Suárez', 'Gabriel Fernández', 'Iago Aspas', 'Courtois', 'Odriozola', 'Varane', 'Sergio Ramos', 'Marcelo', 'Casemiro', 'Modrić']",76,83,"['Kroos', 'Vinícius', 'Bale', 'Benzema', 'Pape Cheikh', 'Pione Sisto', 'Losada', 'Iván Villar', 'Jorge Sáenz', 'Aidoo', 'Bermejo', 'Jović', 'Isco', 'Lucas Vázquez', 'Keylor Navas', 'Militão', 'Nacho', 'James Rodríguez']",0,0
2019,1,17/08/2019,Valencia,1-1,Real Sociedad,Camp de Mestalla,Gil Manzano,"['Cillessen', 'Wass', 'Garay', 'Gabriel Paulista', 'Jaume Costa', 'Coquelin', 'Carlos Soler', 'Kondogbia', 'Rodrigo', 'Gameiro', 'Guedes', 'Moyá', 'Zaldúa', 'Le Normand', 'Aihen Muñoz', 'Ødegaard', 'Januzaj', 'Mikel Merino']",83,84,"['Zubeldia', 'Illarramendi', 'Oyarzabal', 'Willian José', 'Piccini', 'Ferran Torres', 'Cheryshev', 'Jaume', 'Manu Vallejo', 'Diakhaby', 'Maxi Gómez', 'Barrenetxea', 'Isak', 'Kevin Rodrigues', 'Remiro', 'Guevara', 'Zurutuza', 'Arambarri']",0,0
2019,1,17/08/2019,Leganés,0-1,Osasuna,Estadio Municipal de Butarque,Alberola Rojas,"['Cuéllar', 'Rosales', 'Siovas', 'Tarín', 'Bustinza', 'Jonathan Silva', 'Óscar', 'Rubén Pérez', 'Eraso', 'En-Nesyri', 'Braithwaite', 'Rubén', 'Nacho Vidal', 'Aridane', 'Oier', 'David García', 'Estupiñán', 'Moncayola']",77,77,"['Brašanac', 'Roberto Torres', 'Rober Ibáñez', 'Chimy Ávila', 'Navarro', 'Arnaiz', 'Recio', 'Soriano', 'Omeruo', 'Sabin Merino', 'Ruibal', 'Luis Perea', 'Cardona', 'Lillo', 'Herrera', 'Fran Mérida', 'Brandon', 'Villar']",0,0
2019,1,17/08/2019,Villarreal,4-4,Granada,Estadio de la Cerámica,Cordero Vega,"['Andrés Fernández', 'Rubén Peña', 'Quintillà', 'Pau Torres', 'Albiol', 'Moi Gómez', 'Zambo Anguissa', 'Iborra', 'Cazorla', 'Samu', 'Gerard Moreno', 'Rui Silva', 'Víctor Díaz', 'Duarte', 'Quini', 'Germán', 'Montoro', 'Eteki']",78,78,"['Vadillo', 'Fede Vico', 'Puertas', 'Soldado', 'Ekambi', 'Bacca', 'Manu Trigueros', 'Asenjo', 'Mario Gaspar', 'Funes Mori', 'Morlanes', 'Machís', 'Azeez', 'Ramos', 'Aarón', 'Neva', 'Herrera', 'Carlos Fernández']",0,0
2019,1,18/08/2019,Alavés,1-0,Levante,Mendizorrotza,Soto Grado,"['Pacheco', 'Martín', 'Aleix Vidal', 'Maripán', 'Rodrigo Ely', 'Duarte', 'Wakaso', 'Manu García', 'Pina', 'Rioja', 'Joselu', 'Aitor', 'Miramón', 'Postigo', 'Rubén Vezo', 'Toño', 'Campaña', 'Melero']",82,84,"['Vukčević', 'Bardhi', 'Mayoral', 'Sergio León', 'Lucas Pérez', 'Tachi', 'Pere Pons', 'Sivera', 'Guidetti', 'Adrián Marín', 'Borja Sainz', 'Roger', 'Morales', 'Rochina', 'Oier Olazábal', 'Hernâni', 'Cabaco', 'Coke']",0,0
2019,1,18/08/2019,Espanyol,0-2,Sevilla,Estadio del RCD Espanyol,Martínez Munuera,"['Diego López', 'Javi López', 'Lluís', 'Naldo', 'Dídac Vilà', 'Marc Roca', 'Melendo', 'Víctor Sánchez', 'Vargas', 'Ferreyra', 'Lei', 'Vaclík', 'Jesús Navas', 'Diego Carlos', 'Carriço', 'Reguilón', 'Jordán', 'Óliver Torres']",80,80,"['Ocampos', 'Fernando', 'De Jong', 'Nolito', 'Darder', 'Campuzano', 'Calero', 'Andrés Prieto', 'Iturraspe', 'Puado', 'Granero', 'Munir', 'Koundé', 'Gudelj', 'Sergio Rico', 'Escudero', 'Franco Vázquez', 'Bryan Gil']",0,0
2019,1,18/08/2019,Atlético de Madrid,1-0,Getafe,Estadio Metropolitano,Cuadra Fernández,"['Oblak', 'Trippier', 'Savić', 'Giménez', 'Lodi', 'Lemar', 'Saúl', 'João Félix', 'Koke', 'Thomas', 'Morata', 'David Soria', 'Damián Suárez', 'Nyom', 'Cabrera', 'Bruno', 'Djené', 'Cucurella']",91,93,"['Fajr', 'Arambarri', 'Jorge Molina', 'Mata', 'Hermoso', 'Marcos Llorente', 'Vitolo', 'Adán', 'Arias', 'Héctor Herrera', 'Šaponjić', 'Raúl Carnero', 'Enric Gallego', 'Ángel', 'Chichizola', 'Markel Bergara', 'Portillo', 'Etxeita']",0,0
2019,1,17/08/2019,Mallorca,2-1,Eibar,Estadio de Son Moix,Melero López,"['Manolo Reina', 'Sastre', 'Valjent', 'Raíllo', 'Lumor', 'Febas', 'Dani Rodríguez', 'Baba', 'Salva Sevilla', 'Budimir', 'Lago Junior', 'Dmitrović', 'Tejero', 'Rober', 'Paulo Oliveira', 'Ramis', 'Pedro León', 'Sergio Álvarez']",70,70,"['Escalante', 'Kike García', 'Orellana', 'Sergi Enrich', 'Xisco Campos', 'Álex Alegría', 'Trajkovski', 'Parera', 'Fran Gámez', 'Chavarría', 'Sedlar', 'Edu Expósito', 'Quique González', 'De Blasis', 'Yoel', 'Bigas', 'Inui', 'Arbilla']",0,0
2019,1,18/08/2019,Betis,1-2,Valladolid,Benito Villamarín,Jaime Latre,"['Joel', 'Emerson', 'Sidnei', 'Bartra', 'Pedraza', 'William Carvalho', 'Javi García', 'Joaquín', 'Tello', 'Fekir', 'Borja Iglesias', 'Masip', 'Moyano', 'Salisu', 'Antoñito', 'Kiko Olivas', 'Nacho', 'Míchel']",78,79,"['Alcaraz', 'Sandro', 'Óscar Plano', 'Sergi Guardiola', 'Loren', 'Juanmi', 'Dani Martín', 'Feddal', 'Barragán', 'Lainez', 'Kaptoum', 'Anuar', 'Waldo', 'Ünal', 'Lunin', 'Pedro Porro', 'Toni', 'Joaquín']",0,0
