Season,Round,TeamHome,Result,TeamAway,Stadium,Date,Time,Spectators,Referee,YellowCards,RedCards
2016,1,Málaga ,1 – 1 ,Osasuna ,La Rosaleda ,19 de agosto ,20:45 ,22199,Jaime Latre ,4,0
2016,1,Deportivo de La Coruña ,2 – 1 ,Eibar ,Riazor ,19 de agosto ,22:00 ,22374,Melero López ,6,0
2016,1,Barcelona ,6 – 2 ,Betis ,Camp Nou ,20 de agosto ,18:15 ,65731,Undiano Mallenco ,4,0
2016,1,Granada ,1 – 1 ,Villarreal ,Los Cármenes ,20 de agosto ,20:15 ,15101,Estrada Fernández ,5,0
2016,1,Sevilla ,6 – 4 ,Espanyol ,Sánchez-Pizjuán ,20 de agosto ,22:15 ,29399,González González ,4,0
2016,1,Sporting de Gijón ,2 – 1 ,Athletic Club ,El Molinón ,21 de agosto ,18:15 ,25340,Clos Gómez ,6,0
2016,1,Real Sociedad ,0 – 3 ,Real Madrid ,Anoeta ,21 de agosto ,20:15 ,27720,Martínez Munuera ,5,0
2016,1,Atlético de Madrid ,1 – 1 ,Deportivo Alavés ,Vicente Calderón ,21 de agosto ,22:15 ,36421,Iglesias Villanueva ,4,0
2016,1,Celta de Vigo ,0 – 1 ,Leganés ,Balaídos ,22 de agosto ,20:00 ,16578,Munuera Montero ,5,1
2016,1,Valencia ,2 – 4 , Las Palmas ,Mestalla ,22 de agosto ,22:00 ,37144,Vicandi Garrido ,4,0
2016,2,Betis ,0 – 0 ,Deportivo de La Coruña ,Villamarín ,26 de agosto ,20:45 ,33172,Clos Gómez ,2,0
2016,2,Espanyol ,2 – 2 ,Málaga ,RCDE Stadium ,26 de agosto ,22:00 ,17304,Gil Manzano ,6,0
2016,2,Eibar ,1 – 0 ,Valencia ,Ipurúa ,27 de agosto ,18:15 ,3576,Hernández Hernández ,4,0
2016,2,Osasuna ,0 – 2 ,Real Sociedad ,El Sadar ,27 de agosto ,18:15 ,16343,Álvarez Izquierdo ,3,0
2016,2,Real Madrid ,2 – 1 ,Celta de Vigo ,Bernabéu ,27 de agosto ,20:15 ,61568,De Burgos Bengoetxea ,2,0
2016,2,Leganés ,0 – 0 ,Atlético de Madrid ,Butarque ,27 de agosto ,22:15 ,10958,Sánchez Martínez ,4,0
2016,2,Deportivo Alavés ,0 – 0 ,Sporting de Gijón ,Mendizorroza ,28 de agosto ,18:15 ,14030,Munuera Montero ,2,0
2016,2, Las Palmas ,5 – 1 ,Granada ,Gran Canaria ,28 de agosto ,18:15 ,18529,Ocón Arráiz ,6,0
2016,2,Athletic Club ,0 – 1 ,Barcelona ,San Mamés ,28 de agosto ,20:15 ,46724,Mateu Lahoz ,9,0
2016,2,Villarreal ,0 – 0 ,Sevilla ,El Madrigal ,28 de agosto ,22:15 ,17530,Del Cerro Grande ,4,0
2016,3,Real Sociedad ,1 – 1 ,Espanyol ,Anoeta ,9 de septiembre ,20:45 ,19595,Iglesias Villanueva ,6,0
2016,3,Celta de Vigo ,0 – 4 ,Atlético de Madrid ,Balaídos ,10 de septiembre ,13:00 ,18100,Jaime Latre ,3,0
2016,3,Real Madrid ,5 – 2 ,Osasuna ,Bernabéu ,10 de septiembre ,16:00 ,64275,Fernández Borbalán ,6,0
