Season,Round,Date,TeamHome,Result,TeamAway,Stadium,Referee
2010,1,28/08/2010,Hércules,0-1,Athletic Club,José Rico Pérez,Rubinos Pérez
2010,1,28/08/2010,Levante,1-4,Sevilla,Ciutat de Valencia,Pérez Lasa
2010,1,28/08/2010,Málaga,1-3,Valencia,La Rosaleda,Muñiz Fernández
2010,1,29/08/2010,Deportivo de La Coruña,0-0,Zaragoza,Nuevo Riazor,Teixeira Vitienes
2010,1,29/08/2010,Espanyol,3-1,Getafe,Cornellà -El Prat,Ayza Gámez
2010,1,29/08/2010,Mallorca,0-0,Real Madrid,Ono Estadi,Fernández Borbalán
2010,1,29/08/2010,Osasuna,0-0,Almería,Reyno de Navarra,Álvarez Izquierdo
2010,1,29/08/2010,Racing de Santander,0-3,Barcelona,Delgado Ferreiro,Delgado Ferreiro
2010,1,29/08/2010,Real Sociedad,1-0,Villarreal,Anoeta,González González
2010,1,30/08/2010,Atlético de Madrid,4-0,Sporting de Gijón,Vicente Calderón,Ramírez Domínguez
2010,2,12/09/2010,Sporting de Gijón,2-0,Mallorca,El Molinón,Estrada Fernández
2010,2,11/09/2010,Athletic Club,1-2,Atlético de Madrid,San Mamés,Undiano Mallenco
2010,2,11/09/2010,Barcelona,0-2,Hércules,Nou Camp,Velasco Carballo
2010,2,11/09/2010,Valencia,1-0,Racing de Santander,Mestalla,Paradas Romero
2010,2,12/09/2010,Zaragoza,3-5,Málaga,La Romareda,Mateu Lahoz
2010,2,12/09/2010,Sevilla,0-0,Deportivo de La Coruña,Ramón Sánchez Pizjuán,Turienzo Álvarez
2010,2,12/09/2010,Getafe,4-1,Levante,Coliseum Alfonso Pérez,Clos Gómez
2010,2,12/09/2010,Villarreal,4-0,Espanyol,El Madrigal,Iturralde González
2010,2,13/09/2010,Almería,2-2,Real Sociedad,Juegos del Mediterráneo,Iglesias Villanueva
2010,2,11/09/2010,Real Madrid,1-0,Osasuna,Santiago Bernabéu,Teixeira Vitienes
2010,3,18/09/2010,Sporting de Gijón,2-2,Athletic Club,El Molinón,Álvarez Izquierdo
2010,3,19/09/2010,Atlético de Madrid,1-2,Barcelona,Vicente Calderón,Fernández Borbalán
2010,3,19/09/2010,Hércules,1-2,Valencia,José Rico Pérez,Ramírez Domínguez
2010,3,19/09/2010,Racing de Santander,2-0,Zaragoza,El Sardinero,González González
2010,3,19/09/2010,Málaga,1-2,Sevilla,La Rosaleda,Delgado Ferreiro
2010,3,20/09/2010,Deportivo de La Coruña,2-2,Getafe,Nuevo Riazor,Muñiz Fernández
2010,3,19/09/2010,Levante,1-2,Villarreal,Ciutat de Valencia,Rubinos Pérez
2010,3,18/09/2010,Espanyol,1-0,Almería,Cornellà -El Prat,Teixeira Vitienes
2010,3,18/09/2010,Real Sociedad,1-2,Real Madrid,Anoeta,Mateu Lahoz
2010,3,18/09/2010,Mallorca,2-0,Osasuna,Ono Estadi,Ayza Gámez
2010,4,21/09/2010,Athletic Club,3-0,Mallorca,San Mamés,Teixeira Vitienes
2010,4,22/09/2010,Barcelona,1-0,Sporting de Gijón,Nou Camp,Paradas Romero
2010,4,22/09/2010,Valencia,1-1,Atlético de Madrid,Mestalla,Iturralde González
2010,4,22/09/2010,Zaragoza,0-0,Hércules,La Romareda,Iglesias Villanueva
2010,4,23/09/2010,Sevilla,1-1,Racing de Santander,Ramón Sánchez Pizjuán,Ayza Gámez
2010,4,23/09/2010,Getafe,0-2,Málaga,Coliseum Alfonso Pérez,Estrada Fernández
2010,4,23/09/2010,Villarreal,1-0,Deportivo de La Coruña,El Madrigal,Álvarez Izquierdo
2010,4,22/09/2010,Almería,0-1,Levante,Juegos del Mediterráneo,Turienzo Álvarez
2010,4,21/09/2010,Real Madrid,3-0,Espanyol,Santiago Bernabéu,Clos Gómez
2010,4,21/09/2010,Osasuna,3-1,Real Sociedad,Reyno de Navarra,Velasco Carballo
2010,5,25/09/2010,Athletic Club,1-3,Barcelona,San Mamés,Mateu Lahoz
2010,5,25/09/2010,Sporting de Gijón,0-2,Valencia,El Molinón,Fernández Borbalán
2010,5,26/09/2010,Atlético de Madrid,1-0,Zaragoza,Vicente Calderón,Muñiz Fernández
2010,5,26/09/2010,Hércules,2-0,Sevilla,José Rico Pérez,Teixeira Vitienes
2010,5,26/09/2010,Racing de Santander,0-1,Getafe,El Sardinero,Iglesias Villanueva
2010,5,27/09/2010,Málaga,2-3,Villarreal,La Rosaleda,Teixeira Vitienes
2010,5,26/09/2010,Deportivo de La Coruña,0-2,Almería,Nuevo Riazor,González González
2010,5,25/09/2010,Levante,0-0,Real Madrid,Ciutat de Valencia,Delgado Ferreiro
2010,5,26/09/2010,Espanyol,1-0,Osasuna,Cornellà -El Prat,Ramírez Domínguez
2010,5,26/09/2010,Mallorca,2-0,Real Sociedad,Ono Estadi,Rubinos Pérez
2010,6,03/10/2010,Barcelona,1-1,Mallorca,Nou Camp,Undiano Mallenco
2010,6,02/10/2010,Valencia,2-1,Athletic Club,Mestalla,Velasco Carballo
2010,6,02/10/2010,Zaragoza,2-2,Sporting de Gijón,La Romareda,Ayza Gámez
