Season,Round,TeamHome,Result,TeamAway,Stadium,Date,Time,Spectators,Referee,YellowCards,RedCards
2015,1,Málaga ,0 - 0 ,Sevilla ,La Rosaleda ,21 de agosto ,20:30 ,,,,
2015,1,Deportivo de La Coruña ,0 - 0 ,Real Sociedad ,Riazor ,22 de agosto ,18:30 ,,,,
2015,1,Espanyol ,1 - 0 ,Getafe ,Cornellá-El Prat ,22 de agosto ,18:30 ,,,,
2015,1,Atlético de Madrid ,1 - 0 ,Las Palmas ,Vicente Calderón ,22 de agosto ,20:30 ,,,,
2015,1,Rayo Vallecano ,0 - 0 ,Valencia ,Vallecas ,22 de agosto ,22:30 ,,,,
2015,1,Athletic Club ,0 - 1 ,Barcelona ,San Mamés ,23 de agosto ,18:30 ,,,,
2015,1,Sporting de Gijón ,0 - 0 ,Real Madrid ,El Molinón ,23 de agosto ,20:30 ,,,,
2015,1,Levante ,1 - 2 ,Celta de Vigo ,Ciutat de València ,23 de agosto ,22:00 ,,,,
2015,1,Betis ,1 - 1 ,Villarreal ,Benito Villamarín ,23 de agosto ,22:30 ,,,,
2015,1,Granada ,1 - 3 ,Eibar ,Nuevo Los Cármenes ,24 de agosto ,20:30 ,,,,
2015,2,Villarreal ,3 - 1 ,Espanyol ,El Madrigal ,28 de agosto ,20:30 ,,,,
2015,2,Real Sociedad ,0 - 0 ,Sporting de Gijón ,Anoeta ,29 de agosto ,18:30 ,,,,
2015,2,Barcelona ,1 - 0 ,Málaga ,Camp Nou ,29 de agosto ,20:30 ,,,,
2015,2,Celta de Vigo ,3 - 0 ,Rayo Vallecano ,Balaídos ,29 de agosto ,22:00 ,,,,
2015,2,Real Madrid ,5 - 0 ,Betis ,Santiago Bernabéu ,29 de agosto ,22:30 ,,,,
2015,2,Eibar ,2 - 0 ,Athletic Club ,Ipurúa ,30 de agosto ,18:30 ,,,,
2015,2,Valencia ,1 - 1 ,Deportivo de La Coruña ,Mestalla ,30 de agosto ,20:30 ,,,,
2015,2,Sevilla ,0 - 3 ,Atlético de Madrid ,Ramón Sánchez Pizjuán ,30 de agosto ,20:30 ,,,,
2015,2,Getafe ,1 - 2 ,Granada ,Coliseum Alfonso Pérez ,30 de agosto ,22:30 ,,,,
2015,2,Las Palmas,0 - 0 ,Levante ,Gran Canaria,30 de agosto ,22:30 ,,,,
2015,3,Levante ,1 - 1 ,Sevilla ,Ciutat de València ,11 de septiembre ,20:30 ,,,,
2015,3,Espanyol ,0 - 6 ,Real Madrid ,Cornellá-El Prat ,12 de septiembre ,16:00 ,,,,
2015,3,Sporting de Gijón ,0 - 1 ,Valencia ,El Molinón ,12 de septiembre ,18:15 ,,,,
2015,3,Atlético de Madrid ,1 - 2 ,Barcelona ,Vicente Calderón ,12 de septiembre ,20:30 ,,,,
2015,3,Betis ,1 - 0 ,Real Sociedad ,Benito Villamarín ,12 de septiembre ,22:00 ,,,,
2015,3,Granada ,1 - 3 ,Villarreal ,Nuevo Los Cármenes ,13 de septiembre ,12:00 ,,,,
2015,3,Athletic Club ,3 - 1 ,Getafe ,San Mamés ,13 de septiembre ,16:00 ,,,,
2015,3,Celta de Vigo ,3 - 3 ,Las Palmas ,Balaídos ,13 de septiembre ,18:15 ,,,,
2015,3,Málaga ,0 - 0 ,Eibar ,La Rosaleda ,13 de septiembre ,20:30 ,,,,
2015,3,Rayo Vallecano ,1 - 3 ,Deportivo de La Coruña ,Vallecas ,14 de septiembre ,20:30 ,,,,
2015,4,Getafe ,1 - 0 ,Málaga ,Coliseum Alfonso Pérez ,18 de septiembre ,20:30 ,,,,
2015,4,Real Madrid ,1 - 0 ,Granada ,Santiago Bernabéu ,19 de septiembre ,16:00 ,,,,
2015,4,Valencia ,0 - 0 ,Betis ,Mestalla ,19 de septiembre ,18:15 ,,,,
2015,4,Eibar ,0 - 2 ,Atlético de Madrid ,Ipurúa ,19 de septiembre ,20:30 ,,,,
2015,4,Real Sociedad ,2 - 3 ,Espanyol ,Anoeta ,19 de septiembre ,22:00 ,,,,
2015,4,Sevilla ,1 - 2 ,Celta de Vigo ,Ramón Sánchez Pizjuán ,20 de septiembre ,12:00 ,,,,
2015,4,Deportivo de La Coruña ,2 - 3 ,Sporting de Gijón ,Riazor ,20 de septiembre ,16:00 ,,,,
2015,4,Villarreal ,3 - 1 ,Athletic Club ,El Madrigal ,20 de septiembre ,18:15 ,,,,
2015,4,Barcelona ,4 - 1 ,Levante ,Camp Nou ,20 de septiembre ,20:30 ,,,,
2015,4,Las Palmas ,0 - 1 ,Rayo Vallecano ,Gran Canaria ,20 de septiembre ,20:30 ,,,,
2015,5,Espanyol ,1 - 0 ,Valencia ,Cornellá-El Prat ,22 de septiembre ,20:00 ,,,,
2015,5,Atlético de Madrid ,2 - 0 ,Getafe ,Vicente Calderón ,22 de septiembre ,20:00 ,,,,
2015,5,Granada ,0 - 3 ,Real Sociedad ,Nuevo Los Cármenes ,22 de septiembre ,22:00 ,,,,
2015,5,Celta de Vigo ,4 - 1 ,Barcelona ,Balaídos ,23 de septiembre ,20:00 ,,,,
2015,5,Rayo Vallecano ,2 - 1 ,Sporting de Gijón ,Campo de Fútbol de Vallecas ,23 de septiembre ,20:00 ,,,,
2015,5,Levante ,2 - 2 ,Eibar ,Ciutat de València ,23 de septiembre ,20:00 ,,,,
2015,5,Athletic Club ,1 - 2 ,Real Madrid ,San Mamés ,23 de septiembre ,21:00 ,,,,
2015,5,Málaga ,0 - 1 ,Villarreal ,La Rosaleda ,23 de septiembre ,22:00 ,,,,
2015,5,Las Palmas ,2 - 0 ,Sevilla ,Gran Canaria ,23 de septiembre ,22:00 ,,,,
2015,5,Betis ,1 - 2 ,Deportivo de La Coruña ,Benito Villamarín ,24 de septiembre ,22:05 ,,,,
2015,6,Valencia ,1 - 0 ,Granada ,Mestalla ,25 de septiembre ,20:30 ,,,,
2015,6,Barcelona ,2 - 1 ,Las Palmas ,Camp Nou ,26 de septiembre ,16:00 ,,,,
2015,6,Real Madrid ,0 - 0 ,Málaga ,Santiago Bernabéu ,26 de septiembre ,18:15 ,,,,
2015,6,Sevilla ,3 - 2 ,Rayo Vallecano ,Ramón Sánchez Pizjuán ,26 de septiembre ,20:30 ,,,,
2015,6,Villarreal ,1 - 0 ,Atlético de Madrid ,El Madrigal ,26 de septiembre ,20:30 ,,,,
2015,6,Eibar ,1 - 1 ,Celta de Vigo ,Ipurúa ,26 de septiembre ,22:00 ,,,,
2015,6,Sporting de Gijón ,1 - 2 ,Betis ,El Molinón ,27 de septiembre ,12:00 ,,,,
2015,6,Deportivo de La Coruña ,3 - 0 ,Espanyol ,Riazor ,27 de septiembre ,16:00 ,,,,
2015,6,Getafe ,3 - 0 ,Levante ,Alfonso Pérez ,27 de septiembre ,18:15 ,,,,
2015,6,Real Sociedad ,0 - 0 ,Athletic Club ,Anoeta ,27 de septiembre ,20:30 ,,,,
2015,7,Celta de Vigo ,0 - 0 ,Getafe ,Balaídos ,2 de octubre ,20:30 ,,,,
2015,7,Sevilla ,2 - 1 ,Barcelona ,Ramón Sánchez Pizjuán ,3 de octubre ,16:00 ,,,,
2015,7,Granada ,1 - 1 ,Deportivo de La Coruña ,Nuevo Los Cármenes ,3 de octubre ,18:15 ,,,,
2015,7,Espanyol ,1 - 2 ,Sporting de Gijón ,Cornellà-El Prat ,3 de octubre ,20:30 ,,,,
2015,7,Las Palmas ,0 - 2 ,Eibar ,Gran Canaria ,3 de octubre ,22:00 ,,,,
2015,7,Málaga ,3 - 1 ,Real Sociedad ,La Rosaleda ,3 de octubre ,22:05 ,,,,
2015,7,Rayo Vallecano ,0 - 2 ,Betis ,Campo de Fútbol de Vallecas ,4 de octubre ,12:00 ,,,,
