Season,Round,Date,TeamHome,Result,TeamAway,Stadium,Referee,PlayersHome,RatingHome,PotentialHome,PlayersAway,RatingAway,PotentialAway
2015,1,21/08/2015,Málaga,0-0,Sevilla,La Rosaleda,Álvarez Izquierdo,"[['Kameni', 'Rosales', 'Boka', 'Angeleri', 'Albentosa', 'Darder', 'Tissone', 'Ricardo Horta', 'Čop', 'Amrabat', 'Charles'], ['Juankar', 'Duda', 'Juanpi Añor', 'Ochoa', 'Filipenko', 'Tighadouini', 'Miguel Torres']]","[[79, 75, 76, 76, 74, 76, 75, 74, 72, 78, 75], [72, 73, 71, 79, 73, 74, 74]]","[[79, 77, 76, 76, 75, 82, 75, 83, 76, 78, 75], [76, 73, 81, 79, 74, 79, 74]]","[['Beto', 'Coke', 'Rami', 'Trémoulinas', 'Banega', ""N'Zonzi"", 'Iborra', 'Krychowiak', 'Vitolo', 'Reyes', 'Gameiro'], ['Immobile', 'Konoplyanka', 'Mariano', 'Sergio Rico', 'Kolodzciejczak', 'Krohn-Dehli', 'Denis Suárez']]","[[78, 80, 79, 81, 81, 79, 81, 82, 81, 79, 79], [79, 82, 77, 75, 60, 79, 78]]","[[78, 80, 79, 81, 82, 81, 82, 86, 83, 79, 79], [82, 84, 77, 84, 64, 79, 85]]"
2015,1,22/08/2015,Deportivo de La Coruña,0-0,Real Sociedad,Cdad. Dva. El Mundo del Fútbol,Mateu Lahoz,"[['Lux', 'Laure', 'Juanfran', 'Lopo', 'Sidnei', 'Fernando Navarro', 'Borges', 'Fajr', 'Cani', 'Mosquera', 'Lucas Pérez'], ['Oriol Riera', 'Fede Cartabia', 'Álex Bergantiños', 'Juan Domínguez', 'Arribas', 'Luis Alberto', 'David Gómez']]","[[76, 74, 74, 60, 77, 75, 77, 75, 75, 76, 78], [73, 74, 72, 73, 75, 73, 60]]","[[76, 74, 75, 71, 79, 75, 78, 76, 75, 77, 79], [73, 81, 72, 77, 77, 81, 67]]","[['Rulli', 'Zaldúa', 'Diego Reyes', 'Iñigo Martínez', 'De la Bella', 'Rubén Pardo', 'Xabi Prieto', 'Markel Bergara', 'Jonathas', 'Carlos Vela', 'Bruma'], ['Canales', 'Chori Castro', 'Granero', 'Agirretxe', 'Ansotegi', 'Yuri', 'Bardají']]","[[79, 72, 75, 80, 78, 77, 77, 76, 79, 82, 76], [79, 81, 77, 77, 74, 71, 61]]","[[86, 78, 83, 84, 78, 83, 77, 76, 81, 84, 85], [83, 81, 77, 77, 74, 75, 67]]"
2015,1,22/08/2015,Espanyol,1-0,Getafe,Power8 Stadium,Gil Manzano,"[['Pau López', 'Álvaro', 'Javi López', 'Raíllo', 'Arbilla', 'Víctor Álvarez', 'Duarte', 'Salva Sevilla', 'Víctor Sánchez', 'Caicedo', 'Montañés'], ['Gerard Moreno', 'Cañas', 'Burgui', 'Bardi', 'Asensio', 'Rober', 'Mamadou Sylla']]","[[70, 76, 76, 69, 72, 73, 70, 75, 76, 78, 74], [75, 77, 70, 74, 75, 66, 64]]","[[77, 80, 76, 74, 72, 79, 80, 75, 76, 79, 74], [81, 77, 79, 79, 87, 71, 73]]","[['Guaita', 'Damián Suárez', 'Vigaray', 'Vergini', 'Alexis', 'Juan Rodríguez', 'Pedro León', 'Sarabia', 'Lacen', 'Víctor', 'Álvaro Vázquez'], ['Emi Buendía', 'Ian', 'Medrán', 'Megyeri', 'Velázquez', 'Moi Gómez', 'Noblejas']]","[[77, 76, 69, 73, 75, 74, 78, 77, 76, 76, 74], [69, 59, 72, 71, 74, 76, 64]]","[[77, 77, 78, 74, 75, 74, 78, 82, 76, 78, 80], [82, 67, 79, 75, 81, 83, 73]]"
2015,1,22/08/2015,Atlético de Madrid,1-0,Las Palmas,Vicente Calderón,Prieto Iglesias,"[['Oblak', 'Juanfran', 'Giménez', 'Godín', 'Filipe Luís', 'Gabi', 'Óliver Torres', 'Koke', 'Tiago', 'Jackson Martínez', 'Griezmann'], ['Raúl García', 'Correa', 'Fernando Torres', 'Moyá', 'Savić', 'Saúl', 'Vietto']]","[[81, 81, 79, 85, 82, 80, 79, 83, 81, 84, 83], [81, 77, 79, 81, 81, 76, 79]]","[[86, 81, 87, 85, 82, 80, 87, 87, 81, 84, 89], [81, 88, 79, 81, 85, 83, 86]]","[['Lizoain', 'David Simón', 'Bigas', 'Aythami', 'Alcaraz', 'Dani Castellano', 'Javi Castellano', 'Roque Mesa', 'Hernán', 'Jonathan Viera', 'Araujo'], ['Vicente Gómez', 'Momo', 'Willian José', 'David García', 'Nauzet Alemán', 'Valerón', 'Dani Lorenzo']]","[[68, 73, 71, 72, 73, 69, 72, 71, 71, 76, 76], [69, 69, 71, 70, 72, 74, 61]]","[[72, 77, 75, 72, 73, 69, 72, 73, 75, 78, 80], [70, 69, 79, 70, 72, 74, 65]]"
2015,1,22/08/2015,Rayo Vallecano,0-0,Valencia,Estadio de Vallecas,Undiano Mallenco,"[['Toño', 'Tito', 'Llorente', 'Zé Castro', 'Nacho', 'Trashorras', 'Baena', 'Bebé', 'Ebert', 'Manucho', 'Miku'], ['Lass', 'Fariña', 'Cobeño', 'Cissé', 'Raț', 'Quini', 'Jozabed']]","[[75, 77, 70, 76, 75, 80, 78, 72, 75, 76, 73], [77, 74, 69, 70, 76, 70, 71]]","[[75, 77, 78, 76, 76, 80, 80, 75, 75, 76, 73], [80, 77, 69, 73, 76, 74, 76]]","[['Ryan', 'João Cancelo', 'Orbán', 'Mustafi', 'Rubén Vezo', 'De Paul', 'Javi Fuego', 'Danilo', 'Santi Mina', 'Piatti', 'Negredo'], ['Bakkali', 'Rodrigo', 'Barragán', 'Yoel', 'Alcácer', 'Enzo Pérez', 'Diallo']]","[[78, 73, 76, 82, 76, 77, 80, 77, 75, 78, 81], [73, 79, 76, 72, 80, 79, 61]]","[[83, 81, 78, 87, 83, 85, 80, 84, 84, 78, 81], [84, 84, 76, 73, 88, 79, 72]]"
2015,1,23/08/2015,Athletic Club,0-1,Barcelona,San Mamés,Del Cerro Grande,"[['Iraizoz', 'De Marcos', 'Laporte', 'Balenziaga', 'Mikel Rico', 'Susaeta', 'Beñat', 'Eraso', 'Elustondo', 'Sabin Merino', 'Aduriz'], ['Gurpegui', 'Ibai Gómez', 'Bóveda', 'Herrerín', 'Viguera', 'Aketxe', 'Lekue']]","[[79, 80, 83, 79, 78, 78, 80, 72, 75, 73, 82], [79, 77, 76, 74, 71, 74, 70]]","[[79, 82, 87, 80, 78, 78, 80, 76, 75, 80, 82], [79, 80, 78, 75, 71, 83, 78]]","[['Claudio Bravo', 'Dani Alves', 'Vermaelen', 'Mascherano', 'Jordi Alba', 'Rafinha', 'Iniesta', 'Busquets', 'Rakitić', 'Messi', 'Luis Suárez'], ['Bartra', 'Sergi Roberto', 'Sandro', 'Ter Stegen', 'Munir', 'Cámara', 'Gumbau']]","[[83, 84, 80, 83, 84, 79, 88, 86, 84, 94, 90], [80, 78, 72, 82, 73, 66, 66]]","[[83, 84, 80, 83, 86, 84, 88, 87, 85, 94, 90], [83, 85, 84, 88, 85, 72, 70]]"
2015,1,23/08/2015,Sporting de Gijón,0-0,Real Madrid,Estrada Fernández,Estrada Fernández,"[['Lora', 'Bernardo', 'Luis Hernández', 'Isma López', 'Jony', 'Carmona', 'Nacho Cases', 'Sergio Álvarez', 'Sanabria', 'Guerrero', 'Keylor Navas'], ['Rachid', 'Álex Menéndez', 'Alberto', 'Carlos Castro', 'Pablo Pérez', 'Meré', 'James Rodríguez']]","[[76, 76, 74, 73, 76, 72, 73, 75, 72, 72, 80], [66, 70, 70, 69, 70, 71, 87]]","[[76, 78, 76, 77, 80, 72, 74, 82, 85, 76, 80], [72, 76, 70, 77, 77, 83, 93]]","[['Danilo', 'Sergio Ramos', 'Varane', 'Marcelo', 'Isco', 'Modrić', 'Kroos', 'Jesé', 'Bale', 'Cristiano Ronaldo', 'Juan Muñiz'], ['Kovačić', 'Carvajal', 'Casilla', 'Pepe', 'Nacho', 'Casemiro']]","[[81, 87, 82, 83, 84, 87, 87, 78, 87, 93, 68], [78, 81, 80, 84, 75, 77]]","[[87, 87, 89, 84, 89, 87, 90, 85, 89, 93, 76], [86, 85, 80, 84, 77, 81]]"
2015,1,23/08/2015,Levante,1-2,Celta de Vigo,Ciutat de Valencia,De Burgos Bengoetxea,"[['Rubén', 'Trujillo', 'Iván López', 'Juanfran', 'Toño', 'José Mari', 'Verza', 'Camarasa', 'Simão Junior', 'Ghilas', 'Deyverson'], ['Morales', 'Rubén García', 'Víctor Casadesús', 'Jesús Fernández', 'David Navarro', 'Roger', 'Feddal']]","[[75, 74, 75, 73, 75, 72, 76, 75, 74, 77, 76], [77, 73, 75, 69, 75, 71, 75]]","[[75, 74, 83, 73, 79, 73, 76, 83, 75, 81, 82], [77, 80, 75, 70, 75, 76, 77]]","[['Rubén Blanco', 'Hugo Mallo', 'Cabral', 'Jonny', 'Fontàs', 'Augusto', 'Wass', 'Pablo Hernández', 'Orellana', 'Nolito', 'Iago Aspas'], ['Néstor', 'Guidetti', 'Planas', 'Radoja', 'Bongonda', 'Sergi Gómez', 'Señé']]","[[68, 78, 77, 76, 77, 79, 77, 63, 80, 82, 78], [63, 74, 71, 76, 71, 73, 69]]","[[79, 84, 77, 82, 81, 79, 79, 70, 80, 82, 78], [71, 80, 76, 82, 84, 81, 77]]"
2015,1,23/08/2015,Betis,1-1,Villarreal,Benito Villamarín,Bikandi Garrido,"[['Adán', 'Piccini', 'Pezzella', 'Bruno', 'Vargas', 'Portillo', ""N'Diaye"", 'Cejudo', 'Xavi Torres', 'Jorge Molina', 'Rubén Castro'], ['Dani Ceballos', 'Fabián', 'Rennella', 'Dani Giménez', 'Petros', 'Molinero', 'Westermann']]","[[77, 73, 71, 72, 76, 75, 75, 74, 75, 75, 79], [74, 68, 72, 70, 71, 72, 76]]","[[77, 80, 77, 76, 76, 76, 79, 74, 75, 75, 79], [87, 84, 73, 70, 73, 72, 76]]","[['Areola', 'Mario Gaspar', 'Eric Bailly', 'Víctor Ruiz', 'Jaume Costa', 'Bruno Soriano', 'Pina', 'Nahuel', 'Samu Castillejo', 'Leo Baptistão', 'Soldado'], ['Samu García', 'Bakambu', 'Manu Trigueros', 'Barbosa', 'Jokić', 'Rukavina', 'Iñiguez']]","[[76, 79, 73, 80, 77, 81, 78, 70, 77, 78, 79], [78, 76, 79, 75, 75, 76, 69]]","[[85, 84, 83, 82, 78, 81, 78, 84, 85, 83, 79], [82, 82, 85, 75, 75, 76, 77]]"
2015,1,24/08/2015,Granada,1-3,Eibar,Estadio Nuevo Los Carmenes,Iglesias Villanueva,"[['Andrés Fernández', 'Foulquier', 'Babin', 'Mainz', 'Salva Ruiz', 'Rubén Pérez', 'Javi Márquez', 'Rochina', 'El-Arabi', 'Rober Ibáñez', 'Piti'], ['Edgar', 'Success', 'Miguel Lopes', 'Jhon Córdoba', 'Krhin', 'Agbo', 'Dimitrievski']]","[[77, 71, 74, 72, 67, 76, 74, 73, 75, 73, 73], [73, 70, 76, 73, 75, 63, 63]]","[[77, 77, 74, 72, 75, 78, 74, 79, 75, 80, 73], [79, 82, 76, 80, 79, 73, 73]]","[['Irureta', 'Capa', 'Mauro dos Santos', 'Ramis', 'Luna', 'Adrián', 'Keko', 'Dani García', 'Escalante', 'Saúl Berjón', 'Sergi Enrich'], ['Borja Bastón', 'Juncà', 'Arruabarrena', 'Verdi', 'Pantić', 'Errasti', 'Mediavilla']]","[[75, 73, 72, 74, 73, 73, 72, 74, 71, 76, 71], [72, 70, 70, 74, 73, 73, 57]]","[[75, 78, 74, 74, 78, 74, 76, 76, 81, 76, 75], [80, 76, 70, 80, 77, 74, 63]]"
2015,2,28/08/2015,Villarreal,3-1,Espanyol,El Madrigal,Velasco Carballo,"[['Areola', 'Mario Gaspar', 'Eric Bailly', 'Víctor Ruiz', 'Jaume Costa', 'Manu Trigueros', 'Pina', 'Nahuel', 'Samu Castillejo', 'Leo Baptistão', 'Soldado'], ['Jonathan dos Santos', 'Bakambu', 'Samu García', 'Barbosa', 'Jokić', 'Rukavina', 'Iñiguez']]","[[76, 79, 73, 80, 77, 79, 78, 70, 77, 78, 79], [78, 76, 78, 75, 75, 76, 69]]","[[85, 84, 83, 82, 78, 85, 78, 84, 85, 83, 79], [82, 82, 82, 75, 75, 76, 77]]","[['Pau López', 'Álvaro', 'Javi López', 'Raíllo', 'Arbilla', 'Víctor Álvarez', 'Duarte', 'Víctor Sánchez', 'Caicedo', 'Montañés', 'Gerard Moreno'], ['Burgui', 'Hernán Pérez', 'Cañas', 'Bardi', 'Asensio', 'Roco', 'Salva Sevilla']]","[[70, 76, 76, 69, 72, 73, 70, 76, 78, 74, 75], [70, 74, 77, 74, 75, 75, 75]]","[[77, 80, 76, 74, 72, 79, 80, 76, 79, 74, 81], [79, 76, 77, 79, 87, 82, 75]]"
